239.8357	2.37062
241.0902009	2.3697
242.3447017	2.36853
243.5992026	2.36712
244.8537034	2.36547
246.1082043	2.36361
247.3627052	2.36154
248.617206	2.35928
249.8717069	2.35683
251.1262077	2.35421
252.3807086	2.35142
253.6352095	2.34848
254.8897103	2.3454
256.1442112	2.34218
257.398712	2.33884
258.6532129	2.33539
259.9077138	2.33183
261.1622146	2.32817
262.4167155	2.32442
263.6712163	2.32059
264.9257172	2.31668
266.1802181	2.31271
267.4347189	2.30868
268.6892198	2.30459
269.9437206	2.30046
271.1982215	2.29629
272.4527224	2.29209
273.7072232	2.28786
274.9617241	2.28361
276.2162249	2.27934
277.4707258	2.27506
278.7252267	2.27078
279.9797275	2.2665
281.2342284	2.26222
282.4887292	2.25795
283.7432301	2.25369
284.997731	2.24945
286.2522318	2.24523
287.5067327	2.24104
288.7612335	2.23687
290.0157344	2.23274
291.2702353	2.22864
292.5247361	2.22458
293.779237	2.22057
295.0337378	2.21659
296.2882387	2.21267
297.5427396	2.20879
298.7972404	2.20497
300.0517413	2.2012
301.3062421	2.19749
302.560743	2.19384
303.8152439	2.19025
305.0697447	2.18673
306.3242456	2.18326
307.5787464	2.17987
308.8332473	2.17654
310.0877482	2.17328
311.342249	2.17009
312.5967499	2.16697
313.8512507	2.16392
315.1057516	2.16095
316.3602525	2.15805
317.6147533	2.15523
318.8692542	2.15249
320.123755	2.14982
321.3782559	2.14723
322.6327567	2.14472
323.8872576	2.14228
325.1417585	2.13993
326.3962593	2.13765
327.6507602	2.13546
328.905261	2.13334
330.1597619	2.1313
331.4142628	2.12935
332.6687636	2.12747
333.9232645	2.12567
335.1777653	2.12396
336.4322662	2.12232
337.6867671	2.12077
338.9412679	2.11929
340.1957688	2.11789
341.4502696	2.11657
342.7047705	2.11533
343.9592714	2.11417
345.2137722	2.11309
346.4682731	2.11208
347.7227739	2.11115
348.9772748	2.1103
350.2317757	2.10953
351.4862765	2.10883
352.7407774	2.1082
353.9952782	2.10765
355.2497791	2.10718
356.50428	2.10677
357.7587808	2.10644
359.0132817	2.10619
360.2677825	2.106
361.5222834	2.10588
362.7767843	2.10584
364.0312851	2.10586
365.285786	2.10595
366.5402868	2.10611
367.7947877	2.10634
369.0492886	2.10664
370.3037894	2.107
371.5582903	2.10742
372.8127911	2.10791
374.067292	2.10847
375.3217929	2.10908
376.5762937	2.10976
377.8307946	2.1105
379.0852954	2.1113
380.3397963	2.11216
381.5942972	2.11308
382.848798	2.11406
384.1032989	2.1151
385.3577997	2.11619
386.6123006	2.11734
387.8668015	2.11854
389.1213023	2.1198
390.3758032	2.12111
391.630304	2.12247
392.8848049	2.12389
394.1393058	2.12536
395.3938066	2.12688
396.6483075	2.12845
397.9028083	2.13007
399.1573092	2.13174
400.4118101	2.13345
401.6663109	2.13522
402.9208118	2.13703
404.1753126	2.13888
405.4298135	2.14078
406.6843144	2.14273
407.9388152	2.14472
409.1933161	2.14675
410.4478169	2.14882
411.7023178	2.15094
412.9568187	2.1531
414.2113195	2.1553
415.4658204	2.15753
416.7203212	2.15981
417.9748221	2.16213
419.229323	2.16448
420.4838238	2.16687
421.7383247	2.1693
422.9928255	2.17177
424.2473264	2.17427
425.5018273	2.17681
426.7563281	2.17938
428.010829	2.18198
429.2653298	2.18462
430.5198307	2.18729
431.7743316	2.18999
433.0288324	2.19273
434.2833333	2.19549
435.5378341	2.19829
436.792335	2.20112
438.0468359	2.20398
439.3013367	2.20686
440.5558376	2.20978
441.8103384	2.21272
443.0648393	2.21569
444.3193402	2.21869
445.573841	2.22172
446.8283419	2.22477
448.0828427	2.22785
449.3373436	2.23095
450.5918445	2.23408
451.8463453	2.23723
453.1008462	2.24041
454.355347	2.24361
455.6098479	2.24684
456.8643488	2.25008
458.1188496	2.25336
459.3733505	2.25665
460.6278513	2.25996
461.8823522	2.2633
463.1368531	2.26666
464.3913539	2.27004
465.6458548	2.27343
466.9003556	2.27685
468.1548565	2.28029
469.4093574	2.28375
470.6638582	2.28723
471.9183591	2.29072
473.1728599	2.29423
474.4273608	2.29777
475.6818617	2.30131
476.9363625	2.30488
478.1908634	2.30846
479.4453642	2.31207
480.6998651	2.31568
481.954366	2.31932
483.2088668	2.32296
484.4633677	2.32663
485.7178685	2.33031
486.9723694	2.334
488.2268702	2.33771
489.4813711	2.34144
490.735872	2.34517
491.9903728	2.34893
493.2448737	2.35269
494.4993745	2.35647
495.7538754	2.36026
497.0083763	2.36407
498.2628771	2.36789
499.517378	2.37172
500.7718788	2.37556
502.0263797	2.37942
503.2808806	2.38328
504.5353814	2.38716
505.7898823	2.39105
507.0443831	2.39495
508.298884	2.39886
509.5533849	2.40279
510.8078857	2.40672
512.0623866	2.41066
513.3168874	2.41462
514.5713883	2.41858
515.8258892	2.42255
517.08039	2.42654
518.3348909	2.43053
519.5893917	2.43453
520.8438926	2.43854
522.0983935	2.44256
523.3528943	2.44659
524.6073952	2.45062
525.861896	2.45467
527.1163969	2.45872
528.3708978	2.46278
529.6253986	2.46685
530.8798995	2.47093
532.1344003	2.47501
533.3889012	2.4791
534.6434021	2.4832
535.8979029	2.48731
537.1524038	2.49142
538.4069046	2.49554
539.6614055	2.49967
540.9159064	2.5038
542.1704072	2.50794
543.4249081	2.51209
544.6794089	2.51624
545.9339098	2.5204
547.1884107	2.52456
548.4429115	2.52873
549.6974124	2.53291
550.9519132	2.53709
552.2064141	2.54128
553.460915	2.54547
554.7154158	2.54967
555.9699167	2.55387
557.2244175	2.55808
558.4789184	2.56229
559.7334193	2.56651
560.9879201	2.57073
